,Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0
587,GB Brent (Zim),1996-2008,70,54,20,408,59*,12.00,698,58.45,0,1,3
588,Usman Ghani (Afg),2014-2015,14,14,0,408,118,29.14,504,80.95,1,2,2
589,CB Lambert (USA/WI),1990-2004,12,12,0,407,119,33.91,540,75.37,1,2,1
590,RW Price (Zim),2002-2012,102,59,17,406,46,9.66,701,57.91,0,0,10
591,IR Bishop (WI),1988-1997,84,44,19,405,33*,16.20,776,52.19,0,0,3
592,EA Brandes (Zim),1987-1999,59,41,10,404,55,13.03,448,90.17,0,2,3
593,ID Blackwell (Eng),2002-2006,34,29,2,403,82,14.92,465,86.66,0,1,6
594,F Mutizwa (Zim),2009-2011,17,15,2,403,79,31.00,502,80.27,0,4,2
595,JP Bray (Ire),2006-2007,15,15,1,401,116,28.64,594,67.50,2,0,2
596,RG de Alwis (SL),1983-1988,31,27,8,401,59*,21.10,512,78.32,0,2,2
597,S Madan Lal (India),1974-1987,67,35,14,401,53*,19.09,645,62.17,0,1,1
598,TBM de Leede (Neth),1996-2007,29,25,1,400,58*,16.66,628,63.69,0,2,4
599,WS Jayantha (SL),2004-2004,17,17,2,400,74*,26.66,530,75.47,0,2,2
600,Mushtaq Ahmed (Pak),1989-2003,144,76,34,399,34*,9.50,698,57.16,0,0,10
601,Sohail Tanvir (Pak),2007-2014,62,40,11,399,59,13.75,458,87.11,0,1,3
602,DR Chumney (Can),2003-2007,21,21,2,397,48,20.89,595,66.72,0,0,0
603,IA Karim (Kenya),2011-2014,9,9,0,396,112,44.00,522,75.86,2,1,0
604,AB Barath (WI),2010-2012,14,14,1,394,113,30.30,612,64.37,1,1,2
605,Shoaib Akhtar (Asia/ICC/Pak),1998-2011,163,84,40,394,43,8.95,538,73.23,0,0,11
606,T Thushara (SL),2008-2010,38,27,6,392,54*,18.66,424,92.45,0,1,4
607,PJ Ongondo (Afr/Kenya),1999-2011,79,62,19,391,36,9.09,621,62.96,0,0,9
608,AF Giles (Eng),1997-2005,62,35,13,385,41,17.50,551,69.87,0,0,2
609,TG Southee (NZ),2008-2015,99,54,19,384,32,10.97,395,97.21,0,0,9
610,Hannan Sarkar (Ban),2002-2004,20,20,0,383,61,19.15,713,53.71,0,3,2
611,Sadiq Mohammad (Pak),1973-1980,19,19,1,383,74,21.27,755,50.72,0,2,0
612,MH Dekker (Zim),1992-1996,23,22,2,379,79,18.95,798,47.49,0,2,0
613,DM Wellham (Aus),1981-1987,17,17,2,379,97,25.26,699,54.22,0,1,0
614,U Bhatti (Can),2006-2010,36,30,8,378,46,17.18,513,73.68,0,0,2
615,GF Lawson (Aus),1980-1989,79,52,18,378,33*,11.11,500,75.60,0,0,9
616,MR Ramprakash (Eng),1991-2001,18,18,4,376,51,26.85,544,69.11,0,1,0
617,Babar Azam (Pak),2015-2016,9,9,1,375,83,46.87,411,91.24,0,5,0
618,XM Marshall (WI),2005-2009,24,24,3,375,157*,17.85,545,68.80,1,0,5
619,Al Sahariar (Ban),1999-2003,29,29,1,374,62*,13.35,709,52.75,0,2,6
620,CC Lewis (Eng),1990-1998,53,40,14,374,33,14.38,459,81.48,0,0,6
621,SMH Kirmani (India),1976-1986,49,31,13,373,48*,20.72,616,60.55,0,0,2
622,WD Parnell (SA),2009-2015,46,25,9,373,56,23.31,482,77.38,0,1,1
623,JO Holder (WI),2013-2015,35,23,7,372,57,23.25,370,100.54,0,2,4
624,DS de Silva (SL),1975-1985,41,29,10,371,37*,19.52,691,53.69,0,0,0
625,S Chattergoon (WI),2006-2009,18,17,2,370,54*,24.66,615,60.16,0,2,2
626,Najibullah Zadran (Afg),2012-2015,21,20,1,369,83,19.42,483,76.39,0,2,1
627,PJ Forrest (Aus),2012-2012,15,14,0,368,104,26.28,561,65.59,1,3,2
628,WM Darling (Aus),1978-1982,18,18,1,363,74,21.35,679,53.46,0,1,0
629,SS Karim (India),1997-2000,34,27,4,362,55,15.73,560,64.64,0,1,2
630,R Rampaul (WI),2003-2015,92,40,11,362,86*,12.48,472,76.69,0,1,3
631,Shahriar Hossain (Ban),1997-2004,20,19,0,362,95,19.05,682,53.07,0,2,4
632,WK McCallan (Ire),2006-2009,39,28,10,361,50*,20.05,419,86.15,0,1,5
633,RC Irani (Eng),1996-2003,31,30,5,360,53,14.40,549,65.57,0,1,7
634,Mushfiqur Rahman (Ban),2000-2004,28,25,3,360,49,16.36,690,52.17,0,0,4
635,BJ Patel (Kenya),2001-2006,31,25,3,360,44,16.36,736,48.91,0,0,4
636,AD Brown (Eng),1996-2001,16,16,0,354,118,22.12,427,82.90,1,1,2
637,Wajahatullah Wasti (Pak),1999-2000,15,15,0,349,84,23.26,713,48.94,0,1,1
638,Mohammad Rizwan (Pak),2015-2016,15,13,3,348,75*,34.80,364,95.60,0,3,0
639,Zahid Fazal (Pak),1990-1994,19,18,3,348,98*,23.20,584,59.58,0,2,0
640,RDB Croft (Eng),1996-2001,50,36,12,345,32,14.37,519,66.47,0,0,4
641,GP Wickramasinghe (SL),1990-2002,134,64,24,344,32,8.60,543,63.35,0,0,12
642,DNT Zoysa (SL),1997-2007,95,47,21,343,47*,13.19,358,95.81,0,0,5
643,HH Kanitkar (India),1997-2000,34,27,8,339,57,17.84,512,66.21,0,1,2
644,M Vijay (India),2010-2015,17,16,0,339,72,21.18,506,66.99,0,1,0
645,BE Congdon (NZ),1973-1978,11,9,3,338,101,56.33,472,71.61,1,2,0
646,CM Old (Eng),1973-1981,32,25,7,338,51*,18.77,401,84.28,0,1,4
647,MG Burgess (NZ),1973-1981,26,20,0,336,47,16.80,515,65.24,0,0,1
648,NM Hauritz (Aus),2002-2011,58,32,17,336,53*,22.40,349,96.27,0,1,0
649,Mirwais Ashraf (Afg),2009-2016,37,30,7,336,52*,14.60,472,71.18,0,1,2
650,SD Outerbridge (Ber),2006-2009,23,23,0,336,56,14.60,612,54.90,0,1,4
651,Tapash Baisya (Ban),2002-2007,56,41,13,336,35*,12.00,576,58.33,0,0,4
652,NT Broom (NZ),2009-2010,22,22,3,333,71,17.52,475,70.10,0,1,6
653,KA Edwards (WI),2011-2014,16,16,2,331,123*,23.64,494,67.00,1,0,3
654,Manjural Islam Rana (Ban),2003-2006,25,21,5,331,63,20.68,668,49.55,0,1,1
655,S Mukuddem (Ber),2006-2007,20,18,4,331,57,23.64,650,50.92,0,1,2
656,Asif Iqbal (Pak),1973-1979,10,8,2,330,62,55.00,466,70.81,0,5,0
657,ZE Surkari (Can),2008-2011,23,22,3,328,49,17.26,656,50.00,0,0,1
658,DJ Capel (Eng),1987-1990,23,19,2,327,50*,19.23,479,68.26,0,1,0
659,MH Yardy (Eng),2006-2011,28,24,8,326,60*,20.37,472,69.06,0,2,1
660,ML Nkala (Zim),1998-2006,50,35,5,324,47,10.80,526,61.59,0,0,5
661,Saeed Ajmal (Pak),2008-2015,113,70,24,324,33,7.04,535,60.56,0,0,11
662,RP Snell (SA),1991-1996,42,28,8,322,63,16.10,330,97.57,0,2,1
663,KJJ van Noortwijk (Neth),1996-2003,9,9,2,322,134*,46.00,428,75.23,1,1,1
664,Anwar Ali (Pak),2013-2016,22,16,5,321,43*,29.18,367,87.46,0,0,0
665,CA Walsh (WI),1985-2000,205,79,33,321,30,6.97,451,71.17,0,0,11
666,RB McCosker (Aus),1975-1982,14,14,0,320,95,22.85,623,51.36,0,2,2
667,DR Brown (Eng/Scot),1997-2007,25,24,6,319,50*,17.72,481,66.32,0,1,3
668,HP Rinke (Zim),2006-2006,18,18,0,317,72,17.61,378,83.86,0,3,2
669,Faisal Iqbal (Pak),2000-2006,18,16,2,314,100*,22.42,519,60.50,1,0,3
670,NAM McLean (WI),1996-2003,45,34,8,314,50*,12.07,383,81.98,0,1,7
671,Mohammad Sami (Pak),2001-2015,87,46,19,314,46,11.62,490,64.08,0,0,5
672,B Wood (Eng),1972-1982,13,12,2,314,78*,31.40,647,48.53,0,2,1
673,RC Fredericks (WI),1973-1977,12,12,0,311,105,25.91,440,70.68,1,1,0
674,BR Hartland (NZ),1992-1994,16,16,1,311,68*,20.73,623,49.91,0,2,1
675,N Chopra (India),1998-2000,39,26,6,310,61,15.50,498,62.24,0,1,1
676,BC Hollioake (Eng),1997-2002,20,17,2,309,63,20.60,381,81.10,0,2,3
677,Nafees Iqbal (Ban),2003-2005,16,16,0,309,58,19.31,568,54.40,0,2,1
678,DM Benkenstein (SA),1998-2002,23,20,3,305,69,17.94,463,65.87,0,1,3
679,LE Bosman (Afr/SA),2006-2010,14,12,0,301,88,25.08,305,98.68,0,2,2
680,CMW Read (Eng),2000-2006,36,24,7,300,30*,17.64,410,73.17,0,0,4
681,WKM Benjamin (WI),1986-1995,85,52,12,298,31,7.45,406,73.39,0,0,10
682,GS Ballance (Eng),2013-2015,16,15,1,297,79,21.21,443,67.04,0,2,1
683,PA Nixon (Eng),2007-2007,19,18,4,297,49,21.21,347,85.59,0,0,2
684,Zahoor Elahi (Pak),1996-1997,14,14,1,297,86,22.84,507,58.57,0,3,3
685,DN Crookes (SA),1994-2000,32,23,3,296,54,14.80,412,71.84,0,1,3
686,AJ Pycroft (Zim),1983-1992,20,19,2,295,61,17.35,560,52.67,0,2,2
687,DR Tuffey (NZ),2000-2010,94,52,21,295,36,9.51,372,79.30,0,0,7
688,DL Murray (WI),1973-1980,26,17,5,294,61*,24.50,468,62.82,0,2,0
689,AU Rashid (Eng),2009-2016,25,17,5,294,69,24.50,263,111.78,0,1,1
690,MJ Santner (NZ),2015-2016,14,11,5,294,48,49.00,280,105.00,0,0,0
691,SE Bond (NZ),2002-2010,82,40,22,292,31*,16.22,384,76.04,0,0,2
692,P Kumar (India),2007-2012,68,33,12,292,54*,13.90,331,88.21,0,1,2
693,DW Steyn (Afr/SA),2005-2015,112,46,10,292,35,8.11,456,64.03,0,0,7
694,RN Lewis (WI),1997-2009,28,21,5,291,49,18.18,367,79.29,0,0,1
695,SP Narine (WI),2011-2015,55,37,9,291,36,10.39,370,78.64,0,0,7
696,DA Reeve (Eng),1991-1996,29,21,9,291,35,24.25,389,74.80,0,0,0
697,CS Pandit (India),1986-1992,36,23,9,290,33*,20.71,400,72.50,0,0,2
698,Sanwar Hossain (Ban),1998-2003,27,27,2,290,52,11.60,597,48.57,0,1,2
699,SMSM Senanayake (SL),2012-2015,49,33,11,290,42,13.18,311,93.24,0,0,6
700,JN Gillespie (Aus),1996-2005,97,39,16,289,44*,12.56,368,78.53,0,0,8
701,IDR Bradshaw (WI),2004-2007,62,34,11,287,37,12.47,480,59.79,0,0,6
702,KM Curran (Zim),1983-1987,11,11,0,287,73,26.09,430,66.74,0,2,1
703,LG Howell (NZ),1998-1998,12,12,0,287,68,23.91,388,73.96,0,4,1
704,MK Tiwary (India),2008-2015,12,12,1,287,104*,26.09,403,71.21,1,1,0
705,D Lloyd (Eng),1973-1980,8,8,1,285,116*,40.71,526,54.18,1,0,0
706,VJ Marks (Eng),1980-1988,34,24,3,285,44,13.57,434,65.66,0,0,0
707,JAR Blain (Scot),1999-2009,33,25,6,284,41,14.94,517,54.93,0,0,3
708,LP van Troost (Neth),2002-2007,23,20,2,284,40,15.77,456,62.28,0,0,2
709,MA Holding (WI),1976-1987,102,42,11,282,64,9.09,377,74.80,0,2,9
710,CL King (WI),1976-1980,18,14,2,280,86,23.33,267,104.86,0,1,2
711,RS Sodhi (India),2000-2002,18,14,3,280,67,25.45,381,73.49,0,2,0
712,AV Vadher (Kenya),1997-1999,18,16,6,278,73*,27.80,512,54.29,0,2,1
713,Mehrab Hossain jnr (Ban),2006-2009,18,16,0,276,54,17.25,642,42.99,0,1,1
714,JM Anderson (Eng),2002-2015,194,79,43,273,28,7.58,561,48.66,0,0,10
715,DT Christian (Aus),2012-2014,19,18,5,273,39,21.00,307,88.92,0,0,0
716,AM Bacher (SA),1997-2005,13,13,0,270,56,20.76,469,57.56,0,1,0
717,Jahurul Islam (Ban),2010-2013,14,13,1,270,53,22.50,371,72.77,0,1,2
718,KBJ Azad (India),1980-1986,25,21,2,269,39*,14.15,400,67.25,0,0,3
719,AD Gaekwad (India),1975-1987,15,14,1,269,78*,20.69,509,52.84,0,1,2
720,AW Greig (Eng),1972-1977,22,19,3,269,48,16.81,378,71.16,0,0,1
721,Umar Amin (Pak),2010-2014,15,15,1,269,59,19.21,388,69.32,0,1,0
722,JL Denly (Eng),2009-2009,9,9,0,268,67,29.77,409,65.52,0,2,0
723,Aaqib Javed (Pak),1988-1998,163,51,26,267,45*,10.68,456,58.55,0,0,7
724,Shamsur Rahman (Ban),2013-2014,10,10,0,266,96,26.60,350,76.00,0,2,2
725,ADS Fletcher (WI),2008-2015,18,18,0,265,54,14.72,395,67.08,0,2,3
726,SJ Myburgh (Neth),2011-2014,11,11,1,265,56,26.50,305,86.88,0,2,1
727,MH Denness (Eng),1973-1975,12,11,2,264,66,29.33,417,63.30,0,1,1
728,S Jyoti (Can),2006-2010,14,13,1,264,117,22.00,442,59.72,1,0,3
729,NO Miller (WI),2008-2015,46,26,12,264,51,18.85,318,83.01,0,1,4
730,Anshuman Rath (HK),2014-2016,5,5,0,263,97,52.60,375,70.13,0,3,0
731,SP Patil (UAE),2014-2015,13,12,2,263,99*,26.30,404,65.09,0,2,1
732,HJW Gardiner (Scot),2013-2015,11,11,0,262,96,23.81,396,66.16,0,2,1
733,Naved Latif (Pak),2001-2003,11,11,0,262,113,23.81,417,62.82,1,0,1
734,TAM Siriwardana (SL),2015-2016,13,10,1,262,66,29.11,228,114.91,0,2,0
735,JM Bairstow (Eng),2011-2015,12,10,2,260,83*,32.50,275,94.54,0,1,0
736,KJ Wadsworth (NZ),1973-1976,13,10,1,258,104,28.66,334,77.24,1,0,1
737,ML Udawatte (SL),2008-2008,9,9,0,257,73,28.55,383,67.10,0,2,1
738,SS Dighe (India),2000-2001,23,17,6,256,94*,23.27,421,60.80,0,1,1
739,Shafiqullah (Afg),2009-2016,16,14,1,256,56,19.69,284,90.14,0,1,2
740,R Edwards (Aus),1972-1975,9,8,1,255,80*,36.42,349,73.06,0,3,1
741,AD Poynter (Ire),2008-2014,19,16,3,255,78,19.61,412,61.89,0,2,3
742,JE Taylor (WI),2003-2015,81,38,8,255,43*,8.50,299,85.28,0,0,6
743,S Randiv (SL),2009-2014,30,17,1,254,56,15.87,355,71.54,0,1,2
744,S Ranatunga (SL),1994-1996,13,11,0,253,70,23.00,526,48.09,0,2,0
745,IP Butchart (Zim),1983-1995,20,16,2,252,54,18.00,395,63.79,0,1,2
746,J Edness (Ber),2007-2008,11,11,2,252,72,28.00,403,62.53,0,1,1
747,JFM Morrison (NZ),1975-1983,18,15,3,252,55,21.00,472,53.38,0,1,0
748,HA Varaiya (Kenya),2006-2014,63,38,17,252,34,12.00,489,51.53,0,0,3
749,JAH Marshall (NZ),2005-2008,10,10,0,250,161,25.00,313,79.87,1,1,2
750,CT Radley (Eng),1978-1978,4,4,1,250,117*,83.33,367,68.11,1,1,0
751,AR Caddick (Eng),1993-2003,54,38,18,249,36,12.45,395,63.03,0,0,6
752,GF Labrooy (SL),1986-1992,44,36,7,249,33,8.58,350,71.14,0,0,6
753,JM Parker (NZ),1974-1981,24,20,0,248,66,12.40,403,61.53,0,1,1
754,RB Reid (NZ),1988-1991,9,9,0,248,64,27.55,448,55.35,0,2,0
755,RH Vance (NZ),1988-1989,8,8,0,248,96,31.00,481,51.55,0,1,0
756,MA Suji (Kenya),1996-2006,64,52,22,247,16*,8.23,526,46.95,0,0,9
757,A Turner (Aus),1975-1975,6,6,0,247,101,41.16,309,79.93,1,0,0
758,AD Mascarenhas (Eng),2007-2009,20,13,2,245,52,22.27,257,95.33,0,1,2
759,SM Davies (Eng),2009-2011,8,8,0,244,87,30.50,231,105.62,0,1,1
760,C Munro (NZ),2013-2015,12,9,0,244,85,27.11,259,94.20,0,2,1
761,Qaiser Ali (Can),2006-2008,17,17,1,244,70,15.25,383,63.70,0,2,3
762,BP Patel (India),1974-1979,10,9,1,243,82,30.37,399,60.90,0,1,0
763,Afsar Zazai (Afg),2014-2015,14,14,1,242,60,18.61,437,55.37,0,2,3
764,PR Downton (Eng),1977-1988,28,20,5,242,44*,16.13,358,67.59,0,0,2
765,Hasan Raza (Pak),1996-1999,16,13,0,242,77,18.61,480,50.41,0,1,1
766,Dawlat Zadran (Afg),2011-2016,39,29,13,241,25,15.06,360,66.94,0,0,4
767,MJ Di Venuto (Aus),1997-1997,9,9,0,241,89,26.77,281,85.76,0,2,0
768,MH Cross (Scot),2014-2016,18,17,0,240,55,14.11,313,76.67,0,1,0
769,GD Drummond (Scot),2007-2013,30,20,7,240,35*,18.46,262,91.60,0,0,2
770,DK Lillee (Aus),1972-1983,63,34,8,240,42*,9.23,320,75.00,0,0,6
771,CM Wright (Scot),2006-2009,20,18,3,240,37,16.00,351,68.37,0,0,2
772,CRD Fernando (Asia/SL),2001-2012,147,61,35,239,20,9.19,392,60.96,0,0,9
773,J Garner (WI),1977-1987,98,41,15,239,37,9.19,360,66.38,0,0,5
774,KJ Arnott (Zim),1987-1993,13,12,2,238,60,23.80,491,48.47,0,3,0
775,JDS Neesham (NZ),2013-2015,19,16,5,238,42*,21.63,249,95.58,0,0,2
776,DC Thomas (WI),2009-2013,21,19,2,238,37,14.00,364,65.38,0,0,3
777,NS Poonia (Scot),2006-2009,21,21,0,237,67,11.28,377,62.86,0,1,7
778,Enamul Haque (Ban),1990-2002,29,26,5,236,32,11.23,479,49.26,0,0,1
779,GJ Hopkins (NZ),2004-2010,25,17,1,236,45,14.75,311,75.88,0,0,3
780,LM Jongwe (Zim),2014-2016,22,19,3,236,46,14.75,303,77.88,0,0,2
781,Khurram Manzoor (Pak),2008-2009,7,7,0,236,83,33.71,375,62.93,0,3,1
782,GR Codrington (Can),2006-2007,17,15,3,235,45*,19.58,372,63.17,0,0,1
783,JP Crawley (Eng),1994-1999,13,12,1,235,73,21.36,408,57.59,0,2,2
784,Gulbadin Naib (Afg),2011-2016,16,13,3,234,82*,23.40,236,99.15,0,1,3
785,Iftikhar Anjum (Pak),2004-2010,62,34,19,234,32,15.60,378,61.90,0,0,4
786,P Mustard (Eng),2007-2008,10,10,0,233,83,23.30,252,92.46,0,1,0
787,AME Roberts (WI),1975-1983,56,32,9,231,37*,10.04,357,64.70,0,0,3
788,STR Binny (India),2014-2015,14,11,3,230,77,28.75,246,93.49,0,1,1
789,TM Chappell (Aus),1980-1983,20,13,0,229,110,17.61,365,62.73,1,0,2
790,SHU Karnain (SL),1984-1990,19,17,5,229,41*,19.08,386,59.32,0,0,2
791,TM Dowlin (WI),2009-2010,11,11,2,228,100*,25.33,348,65.51,1,1,2
792,DR Flynn (NZ),2008-2012,20,17,2,228,35,15.20,360,63.33,0,0,3
793,AY Karim (Kenya),1996-2003,34,24,6,228,53,12.66,375,60.80,0,1,5
794,M Dillon (WI),1997-2005,108,51,20,227,21*,7.32,411,55.23,0,0,9
795,T Panyangara (Zim),2004-2015,64,48,13,227,33,6.48,454,50.00,0,0,9
796,AMJ Hilditch (Aus),1979-1985,8,8,0,226,72,28.25,476,47.47,0,1,0
797,Raza-ur-Rehman (Can),2013-2014,6,5,0,225,88,45.00,262,85.87,0,3,1
798,BP Julian (Aus),1993-1999,25,17,0,224,35,13.17,250,89.60,0,0,4
799,KR Stackpole (Aus),1971-1974,6,6,0,224,61,37.33,387,57.88,0,3,0
800,JH Edrich (Eng),1971-1975,7,6,0,223,90,37.16,325,68.61,0,2,0
801,BKV Prasad (India),1994-2001,161,63,31,221,19,6.90,367,60.21,0,0,8
802,Sarfraz Nawaz (Pak),1973-1984,45,31,8,221,34*,9.60,345,64.05,0,0,5
803,Wasim Bari (Pak),1973-1984,51,26,13,221,34,17.00,431,51.27,0,0,0
804,HS Baidwan (Can),2008-2014,32,22,7,220,33,14.66,339,64.89,0,0,3
805,HM Nicholls (NZ),2015-2016,10,9,2,219,82,31.28,291,75.25,0,2,0
806,DR Lockhart (Scot),2006-2010,14,11,2,218,46,24.22,341,63.92,0,0,1
807,Y Venugopal Rao (India),2005-2006,16,11,2,218,61*,24.22,363,60.05,0,1,2
808,NR Kumar (Can),2010-2014,16,15,1,217,38,15.50,397,54.65,0,0,1
809,FA Rose (WI),1997-2000,27,23,5,217,30,12.05,265,81.88,0,0,2
810,EO Simons (SA),1994-1995,23,18,4,217,24,15.50,295,73.55,0,0,1
811,V Dahiya (India),2000-2001,19,15,2,216,51,16.61,267,80.89,0,1,2
812,KAJ Roach (WI),2008-2015,67,42,26,216,34,13.50,415,52.04,0,0,6
813,WK Lees (NZ),1979-1983,31,24,5,215,26,11.31,307,70.03,0,0,1
814,M Morkel (Afr/SA),2007-2016,106,40,15,214,25,8.56,280,76.42,0,0,8
815,JL Carter (WI),2015-2015,13,12,1,212,50*,19.27,342,61.98,0,1,1
816,NO Perry (WI),1999-2000,21,16,8,212,52*,26.50,340,62.35,0,1,2
817,FRJ Coleman (Scot),2013-2015,16,14,0,211,70,15.07,344,61.33,0,1,2
818,KS Lokuarachchi (SL),2003-2007,21,18,3,210,69,14.00,262,80.15,0,1,2
819,CPH Ramanayake (SL),1986-1995,62,35,14,210,26,10.00,374,56.14,0,0,7
820,Tahir Naqqash (Pak),1980-1985,40,23,9,210,61,15.00,242,86.77,0,1,4
821,Mushtaq Mohammad (Pak),1973-1978,10,9,3,209,55,34.83,353,59.20,0,1,0
822,B Kumar (India),2012-2016,57,30,8,207,31,9.40,279,74.19,0,0,6
823,MHW Papps (NZ),2004-2005,6,6,2,207,92*,51.75,342,60.52,0,2,0
824,DL Bairstow (Eng),1979-1984,21,20,6,206,23*,14.71,390,52.82,0,0,1
825,AR Berenger (UAE),2014-2015,10,10,0,205,66,20.50,304,67.43,0,2,0
826,PE McEwan (NZ),1980-1985,17,15,0,204,41,13.60,346,58.95,0,0,0
827,DG Brownlie (NZ),2012-2014,10,9,1,203,47,25.37,273,74.35,0,0,0
828,JA Rennie (Zim),1993-2000,44,27,12,201,27,13.40,391,51.40,0,0,6
829,APE Knott (Eng),1971-1977,20,14,4,200,50,20.00,247,80.97,0,1,2
830,NW Bracken (Aus),2001-2009,116,35,18,199,21*,11.70,282,70.56,0,0,5
831,AJ Burger (Nam),2003-2003,6,6,0,199,85,33.16,198,100.50,0,1,0
832,Moin-ul-Atiq (Pak),1988-1989,5,5,0,199,105,39.80,279,71.32,1,0,0
833,M Ntini (ICC/SA),1998-2009,173,47,24,199,42*,8.65,298,66.77,0,0,9
834,SF Mire (Zim),2014-2015,10,10,0,198,52,19.80,304,65.13,0,2,0
835,Ijaz Faqih (Pak),1980-1988,27,19,3,197,42*,12.31,351,56.12,0,0,4
836,GA Lamb (Zim),2010-2011,15,14,3,197,37,17.90,381,51.70,0,0,1
837,MR Swart (Neth),2011-2014,12,11,1,197,52,19.70,272,72.42,0,1,1
838,ASA Perera (SL),1998-2001,20,13,2,195,56*,17.72,257,75.87,0,1,1
839,Sharjeel Khan (Pak),2013-2014,11,11,0,194,61,17.63,242,80.16,0,1,1
840,Akram Raza (Pak),1989-1995,49,25,14,193,33*,17.54,310,62.25,0,0,4
841,PJ Ingram (NZ),2010-2010,8,7,0,193,69,27.57,238,81.09,0,1,0
842,S Prasanna (SL),2011-2015,25,22,2,193,42,9.65,235,82.12,0,0,5
843,C Pringle (NZ),1990-1995,64,41,19,193,34*,8.77,256,75.39,0,0,3
844,V Rathour (India),1996-1997,7,7,0,193,54,27.57,331,58.30,0,2,0
845,MM Iqbal (Scot),2009-2014,13,12,4,192,63,24.00,360,53.33,0,1,2
846,CJ Smith (Ber),2006-2007,12,12,0,192,52,16.00,245,78.36,0,1,3
847,JJ Atkinson (HK),2008-2016,7,7,0,191,59,27.28,303,63.03,0,1,0
848,DAG Fletcher (Zim),1983-1983,6,6,2,191,71*,47.75,289,66.08,0,2,0
849,TN Madondo (Zim),1998-2001,13,13,1,191,71,15.91,331,57.70,0,1,2
850,FDM Karunaratne (SL),2011-2015,17,13,1,190,60,15.83,276,68.84,0,1,2
851,CJ McKay (Aus),2009-2014,59,31,10,190,30,9.04,337,56.37,0,0,3
852,Usman Limbada (Can),2010-2014,11,11,1,189,50,18.90,284,66.54,0,1,1
853,BAW Mendis (SL),2008-2015,87,42,19,188,21*,8.17,263,71.48,0,0,10
854,GH Dockrell (Ire),2010-2015,52,30,16,187,25,13.35,277,67.50,0,0,3
855,Babar Hayat (HK),2014-2016,7,7,0,184,55,26.28,246,74.79,0,2,1
856,EAE Baptiste (WI),1983-1990,43,16,4,184,31,15.33,241,76.34,0,0,0
857,T Mupariwa (Zim),2004-2015,39,31,10,184,33,8.76,316,58.22,0,0,9
858,JL Ontong (Afr/SA),2001-2012,28,16,2,184,32,13.14,267,68.91,0,0,1
859,Saadat Ali (Pak),1984-1984,8,7,1,184,78*,30.66,341,53.95,0,1,0
860,Sohag Gazi (Ban),2012-2014,20,16,4,184,30,15.33,213,86.38,0,0,0
861,SI de Saram (SL),1999-2001,15,13,2,183,38,16.63,270,67.77,0,0,0
862,Shabir Noori (Afg),2010-2012,9,9,0,182,94,20.22,276,65.94,0,1,2
863,Amjad Javed (UAE),2008-2015,9,8,1,181,56,25.85,214,84.57,0,1,0
864,MK Pandey (India),2015-2016,4,3,1,181,104*,90.50,172,105.23,1,1,0
865,JR Thomson (Aus),1975-1985,50,30,6,181,21,7.54,280,64.64,0,0,5
866,SB Bangar (India),2002-2004,15,15,2,180,57*,13.84,239,75.31,0,1,3
867,DG Cork (Eng),1992-2002,32,21,3,180,31*,10.00,271,66.42,0,0,4
868,JW Hastings (Aus),2010-2016,20,16,9,180,48*,25.71,182,98.90,0,0,1
869,PJ Moor (Zim),2014-2016,7,7,0,180,52,25.71,288,62.50,0,2,1
870,Nizakat Khan (HK),2014-2016,5,5,0,180,94,36.00,224,80.35,0,1,0
871,WF Stelling (Neth),2006-2007,15,11,5,180,44,30.00,272,66.17,0,0,1
872,B Warnapura (SL),1975-1982,12,12,0,180,77,15.00,415,43.37,0,1,1
873,MA Leask (Scot),2014-2015,10,9,1,179,50,22.37,152,117.76,0,1,0
874,Mazhar Hussain (UAE),1994-1996,7,7,0,179,70,25.57,334,53.59,0,1,0
875,DM Richards (WI),2009-2010,8,7,0,179,59,25.57,251,71.31,0,2,0
876,AP Devcich (NZ),2013-2014,10,9,0,177,58,19.66,236,75.00,0,1,2
877,SC Khanna (India),1979-1984,10,10,2,176,56,22.00,265,66.41,0,2,1
878,TC Bastiampillai (Can),2007-2014,13,13,0,175,49,13.46,301,58.13,0,0,2
879,BR Blair (NZ),1982-1986,14,14,2,174,29*,14.50,253,68.77,0,0,2
880,GC Dyer (Aus),1986-1988,23,13,2,174,45*,15.81,227,76.65,0,0,1
881,MD Moxon (Eng),1985-1988,8,8,0,174,70,21.75,325,53.53,0,1,1
882,GRJ Roope (Eng),1973-1978,8,8,0,173,44,21.62,342,50.58,0,0,1
883,SB Doull (NZ),1992-2000,42,27,13,172,22,12.28,188,91.48,0,0,2
884,Hasibul Hossain (Ban),1995-2004,32,26,6,172,21*,8.60,247,69.63,0,0,3
885,RP Lefebvre (Neth),1996-2003,11,11,5,171,45,28.50,280,61.07,0,0,0
886,DK Morrison (NZ),1987-1996,96,43,24,171,20*,9.00,400,42.75,0,0,7
887,PS de Villiers (SA),1992-1997,83,36,15,170,20*,8.09,218,77.98,0,0,7
888,SW Masakadza (Zim),2010-2014,16,11,3,170,45*,21.25,177,96.04,0,0,1
889,J Smits (Neth),2003-2009,38,19,9,169,29*,16.90,360,46.94,0,0,2
890,SR Thompson (Ire),2013-2015,11,9,1,169,39,21.12,182,92.85,0,0,0
891,RA Jones (NZ),2003-2003,5,5,0,168,63,33.60,329,51.06,0,1,0
