,Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0
115,SM Pollock (Afr/ICC/SA),1996-2008,303,205,72,3519,130,26.45,4059,86.69,1,14,20
116,MA Taylor (Aus),1989-1997,113,110,1,3514,105,32.23,5909,59.46,1,28,4
117,DB Vengsarkar (India),1976-1991,129,120,19,3508,105,34.73,5179,67.73,1,23,7
118,Mohammad Ashraful (Asia/Ban),2001-2013,177,169,13,3468,109,22.23,4947,70.10,3,20,14
119,SO Tikolo (Afr/Kenya),1996-2014,135,130,12,3428,111,29.05,4524,75.77,3,24,13
120,HH Dippenaar (Afr/SA),1999-2007,107,95,14,3421,125*,42.23,5047,67.78,4,26,4
121,A Flintoff (Eng/ICC),1999-2009,141,122,16,3394,123,32.01,3821,88.82,3,18,9
122,T Taibu (Afr/Zim),2001-2012,150,137,21,3393,107*,29.25,5020,67.58,2,22,16
123,KC Wessels (Aus/SA),1983-1994,109,105,7,3367,107,34.35,6088,55.30,1,26,0
124,AC Parore (NZ),1992-2002,179,161,32,3314,108,25.68,4867,68.09,1,14,19
125,Moin Khan (Pak),1990-2004,219,183,41,3266,72*,23.00,4017,81.30,0,12,17
126,AN Cook (Eng),2006-2014,92,92,4,3204,137,36.40,4154,77.13,5,19,7
127,DI Gower (Eng),1978-1991,114,111,8,3170,158,30.77,4218,75.15,7,12,6
128,Kamran Akmal (Pak),2002-2013,154,135,14,3168,124,26.18,3779,83.83,5,10,9
129,KR Rutherford (NZ),1985-1995,121,115,9,3143,108,29.65,4888,64.30,2,18,6
130,BJ Haddin (Aus),2001-2015,126,115,16,3122,110,31.53,3706,84.24,2,16,2
131,RJ Shastri (India),1981-1992,150,128,21,3108,109,29.04,5089,61.07,4,18,5
132,SM Gavaskar (India),1974-1987,108,102,14,3092,103*,35.13,4966,62.26,1,27,8
133,S Dhawan (India),2010-2016,74,73,3,3078,137,43.97,3410,90.26,9,17,2
134,DS Lehmann (Aus),1996-2005,117,101,22,3078,119,38.96,3784,81.34,4,17,4
135,DJ Bravo (WI),2004-2014,164,141,24,2968,112*,25.36,3606,82.30,2,10,11
136,F du Plessis (SA),2011-2016,87,84,10,2944,133*,39.78,3437,85.65,5,20,2
137,HH Streak (Afr/Zim),1993-2005,189,159,55,2943,79*,28.29,4008,73.42,0,13,6
138,Umar Akmal (Pak),2009-2015,111,100,16,2913,102*,34.67,3383,86.10,2,20,8
139,V Sibanda (Afr/Zim),2003-2015,124,123,4,2898,116,24.35,4555,63.62,2,20,14
140,WW Hinds (WI),1999-2010,119,111,10,2880,127*,28.51,4393,65.55,5,14,8
141,IJL Trott (Eng),2009-2013,68,65,10,2819,137,51.25,3658,77.06,4,22,5
142,AL Logie (WI),1981-1993,158,133,36,2809,109*,28.95,3801,73.90,1,14,13
143,AH Jones (NZ),1987-1995,87,87,9,2784,93,35.69,4811,57.86,0,25,4
144,M Kaif (India),2002-2006,125,110,24,2753,111*,32.01,3822,72.03,2,17,8
145,SV Carlisle (Zim),1995-2005,111,107,8,2740,121*,27.67,4325,63.35,3,9,11
146,Salman Butt (Pak),2004-2010,78,78,4,2725,136,36.82,3572,76.28,8,14,15
147,RG Twose (NZ),1995-2001,87,81,11,2717,103,38.81,3603,75.40,1,20,5
148,GJ Whittall (Zim),1993-2003,147,142,22,2705,83,22.54,4011,67.43,0,11,12
149,RS Bopara (Eng),2007-2015,120,109,21,2695,101*,30.62,3462,77.84,1,14,4
150,SC Williams (Zim),2005-2015,95,93,13,2675,102,33.43,3321,80.54,1,24,5
151,Mudassar Nazar (Pak),1977-1989,122,115,10,2653,95,25.26,5130,51.71,0,16,6
152,Mahmudullah (Ban),2007-2015,125,108,29,2629,128*,33.27,3559,73.86,2,14,6
153,HDRL Thirimanne (SL),2010-2016,107,87,12,2586,139*,34.48,3580,72.23,4,16,5
154,JE Root (Eng),2013-2016,68,64,6,2572,125,44.34,3045,84.46,8,12,3
155,Zaheer Abbas (Pak),1974-1985,62,60,6,2572,123,47.62,3033,84.80,7,13,2
156,AC Hudson (SA),1991-1997,89,88,1,2559,161,29.41,3960,64.62,2,18,6
157,DA Warner (Aus),2009-2016,71,69,2,2537,178,37.86,2752,92.18,5,14,2
158,Ahmed Shehzad (Pak),2009-2016,75,75,1,2510,124,33.91,3451,72.73,6,13,6
159,GJ Bailey (Aus),2012-2016,71,68,8,2498,156,41.63,2916,85.66,3,18,3
160,VG Kambli (India),1991-2000,104,97,21,2477,106,32.59,3443,71.94,2,14,4
161,WTS Porterfield (Ire),2006-2015,84,83,3,2460,112*,30.75,3706,66.37,7,11,5
162,JDP Oram (NZ),2001-2012,160,116,15,2434,101*,24.09,2810,86.61,1,13,8
163,LD Chandimal (SL),2010-2016,107,96,18,2427,111,31.11,3223,75.30,2,15,9
164,TM Odoyo (Afr/Kenya),1996-2014,136,119,16,2420,111*,23.49,3438,70.38,1,8,13
165,RA Smith (Eng),1988-1996,71,70,8,2419,167*,39.01,3473,69.65,4,15,4
166,L Vincent (NZ),2001-2007,102,99,10,2413,172,27.11,3453,69.88,3,11,8
167,GP Thorpe (Eng),1993-2002,82,77,13,2380,89,37.18,3344,71.17,0,21,3
168,KJ O'Brien (Ire),2006-2015,94,85,11,2340,142,31.62,2786,83.99,2,11,5
169,VVS Laxman (India),1998-2006,86,83,7,2338,131,30.76,3282,71.23,6,10,3
170,RR Singh (India),1989-2001,136,113,23,2336,100,25.95,3144,74.30,1,9,5
171,N Hussain (Eng),1989-2003,88,87,10,2332,115,30.28,3481,66.99,1,16,6
172,GS Chappell (Aus),1971-1983,74,72,14,2331,138*,40.18,3079,75.70,3,14,7
173,Q de Kock (SA),2013-2016,57,57,3,2319,138*,42.94,2530,91.66,10,5,1
174,DM Bravo (WI),2009-2015,84,81,10,2283,124,32.15,3247,70.31,2,16,7
175,SL Campbell (WI),1994-2001,90,87,0,2283,105,26.24,3853,59.25,2,14,9
176,DL Vettori (ICC/NZ),1997-2015,295,187,57,2253,83,17.33,2715,82.98,0,4,23
177,CJ Chibhabha (Zim),2005-2016,93,93,2,2225,99,24.45,3463,64.25,0,16,7
178,S Matsikenyeri (Zim),2002-2015,113,110,9,2224,90,22.01,3072,72.39,0,13,8
179,GM Wood (Aus),1978-1989,83,77,11,2219,114*,33.62,3725,59.57,3,11,4
180,MJ Greatbatch (NZ),1988-1996,84,83,5,2206,111,28.28,3099,71.18,2,13,7
181,JC Adams (WI),1992-2001,127,105,28,2204,82,28.62,3614,60.98,0,14,7
182,Shahriar Nafees (Ban),2005-2011,75,75,5,2201,123*,31.44,3167,69.49,4,13,11
183,Habibul Bashar (Ban),1995-2007,111,105,5,2168,78,21.68,3586,60.45,0,14,18
184,IT Botham (Eng),1976-1992,116,106,15,2113,79,23.21,2671,79.10,0,9,6
185,MW Gatting (Eng),1977-1993,92,88,17,2095,115*,29.50,2968,70.58,1,9,4
186,AM Rahane (India),2011-2016,67,65,2,2093,111,33.22,2629,79.61,2,15,6
187,NH Fairbrother (Eng),1987-1999,75,71,18,2092,113,39.47,2903,72.06,1,16,2
188,RL Powell (WI),1999-2005,109,100,16,2085,124,24.82,2157,96.66,1,8,8
189,SPD Smith (Aus),2010-2016,72,59,7,2082,149,40.03,2342,88.89,5,9,2
190,AJ Finch (Aus),2013-2016,57,55,1,2078,148,38.48,2361,88.01,7,10,5
191,CO Obuya (Kenya),2001-2014,104,89,9,2044,98*,25.55,2981,68.56,0,11,6
192,KA Pollard (WI),2007-2014,91,85,4,2042,119,25.20,2180,93.66,3,7,11
193,CL White (Aus),2005-2015,88,74,15,2037,105,34.52,2533,80.41,2,11,4
194,PR Stirling (Ire),2008-2015,62,61,1,2033,177,33.88,2175,93.47,5,9,4
195,Yasir Hameed (Pak),2003-2007,56,56,1,2028,127*,36.87,3029,66.95,3,12,2
196,WPUJC Vaas (Asia/SL),1994-2008,322,220,72,2025,50*,13.68,2796,72.42,0,1,25
197,KO Otieno (Kenya),1996-2009,90,87,1,2016,144,23.44,3561,56.61,2,12,12
198,SV Manjrekar (India),1988-1996,74,70,10,1994,105,33.23,3101,64.30,1,15,3
199,MP Vaughan (Eng),2001-2007,86,83,10,1982,90*,27.15,2898,68.39,0,16,9
200,CH Lloyd (WI),1973-1985,87,69,19,1977,102,39.54,2434,81.22,1,11,1
201,GD Elliott (NZ),2008-2016,83,69,11,1976,115,34.06,2416,81.78,2,11,6
202,KJ Hughes (Aus),1977-1985,97,88,6,1968,98,24.00,2919,67.42,0,17,12
203,A Bagai (Can),2003-2013,62,60,8,1964,137*,37.76,2995,65.57,2,16,2
204,LMP Simmons (WI),2006-2015,68,65,3,1958,122,31.58,2680,73.05,2,16,9
205,Aftab Ahmed (Ban),2004-2010,85,85,6,1954,92,24.73,2353,83.04,0,14,8
206,NJ O'Brien (Ire),2006-2015,74,73,8,1954,80*,30.06,2759,70.82,0,15,3
207,PJL Dujon (WI),1981-1991,169,120,36,1945,82*,23.15,2881,67.51,0,6,8
208,M Amarnath (India),1975-1989,85,75,12,1924,102*,30.53,3334,57.70,2,13,2
209,D Ramdin (WI),2005-2015,129,100,22,1924,169,24.66,2348,81.94,2,7,4
210,KLT Arthurton (WI),1988-1999,105,93,20,1904,84,26.08,2822,67.46,0,9,12
211,Imran Nazir (Pak),1999-2009,79,79,2,1895,160,24.61,2339,81.01,2,9,10
212,Mohsin Khan (Pak),1977-1986,75,75,5,1877,117*,26.81,3373,55.64,2,8,3
213,JV Coney (NZ),1979-1987,88,80,19,1874,66*,30.72,2885,64.95,0,8,1
214,DJG Sammy (WI),2004-2015,126,105,30,1871,89,24.94,1870,100.05,0,9,4
215,RD Jacobs (WI),1996-2004,147,112,32,1865,80*,23.31,2662,70.06,0,9,11
216,M Prabhakar (India),1984-1996,130,98,21,1858,106,24.12,3083,60.26,2,11,8
217,SE Marsh (Aus),2008-2016,50,49,2,1857,151,39.51,2391,77.66,3,12,3
218,RA Jadeja (India),2009-2016,126,87,30,1849,87,32.43,2178,84.89,0,10,5
219,OA Shah (Eng),2001-2009,71,66,6,1834,107*,30.56,2331,78.67,1,12,6
220,DA Miller (SA),2010-2015,82,73,21,1819,138*,34.98,1819,100.00,2,8,7
221,MW Goodwin (Zim),1998-2000,71,70,3,1818,112*,27.13,2654,68.50,2,8,1
222,Khaled Mashud (Ban),1995-2006,126,110,27,1818,71*,21.90,3315,54.84,0,7,8
223,BA Edgar (NZ),1978-1986,64,64,5,1814,102*,30.74,3685,49.22,1,10,3
224,JC Buttler (Eng),2012-2016,70,61,10,1798,129,35.25,1514,118.75,4,7,7
225,DJ Hussey (Aus),2008-2013,69,61,6,1796,111,32.65,1980,90.70,1,14,4
226,MA Atherton (Eng),1990-1998,54,54,3,1791,127,35.11,3054,58.64,2,12,4
227,IA Healy (Aus),1988-1997,168,120,36,1764,56,21.00,2104,83.84,0,4,9
228,Sir RJ Hadlee (NZ),1973-1990,115,98,17,1751,79,21.61,2319,75.50,0,4,4
229,EC Joyce (Eng/Ire),2006-2015,56,55,4,1744,116*,34.19,2479,70.35,3,11,4
230,Imran Farhat (Pak),2001-2013,58,58,2,1719,107,30.69,2489,69.06,1,13,3
231,CB Wishart (Zim),1996-2005,90,82,8,1719,172*,23.22,2436,70.56,2,5,8
232,GJ Maxwell (Aus),2012-2016,62,57,7,1710,102,34.20,1363,125.45,1,13,6
233,Rashid Latif (Pak),1992-2003,166,117,29,1709,79,19.42,2237,76.39,0,3,8
234,DA Gunawardene (SL),1998-2006,61,61,1,1708,132,28.46,2389,71.49,1,12,5
235,ND McKenzie (SA),2000-2009,64,55,10,1688,131*,37.51,2432,69.40,2,10,2
236,NC Johnson (Zim),1998-2000,48,48,2,1679,132*,36.50,2389,70.28,4,11,2
237,BA Young (NZ),1990-1999,74,73,5,1668,74,24.52,2733,61.03,0,9,5
238,UDU Chandana (SL),1994-2007,147,111,17,1627,89,17.30,2229,72.99,0,5,8
239,GM Turner (NZ),1973-1983,41,40,6,1598,171*,47.00,2348,68.05,3,9,1
240,LPC Silva (SL),1999-2011,75,62,7,1587,107*,28.85,2254,70.40,1,13,6
241,SC Williams (WI),1994-1999,57,55,6,1586,105*,32.36,2402,66.02,1,12,6
242,Saleem Elahi (Pak),1995-2004,48,47,4,1579,135,36.72,2214,71.31,4,9,3
243,RL Dias (SL),1979-1987,58,55,5,1573,121,31.46,2315,67.94,2,11,3
244,DR Smith (WI),2004-2015,105,89,5,1560,97,18.57,1683,92.69,0,8,14
245,CK Kapugedera (SL),2006-2016,97,79,7,1551,95,21.54,2138,72.54,0,8,6
246,Imrul Kayes (Ban),2008-2015,58,58,1,1548,101,27.15,2359,65.62,1,12,1
247,IK Pathan (India),2004-2012,120,87,21,1544,83,23.39,1941,79.54,0,5,7
248,RN ten Doeschate (Neth),2006-2011,33,32,9,1541,119,67.00,1757,87.70,5,9,1
249,DL Houghton (Zim),1983-1997,63,60,2,1530,142,26.37,2155,70.99,1,12,5
250,LRD Mendis (SL),1975-1989,79,74,9,1527,80,23.49,2034,75.07,0,7,4
251,Azhar Mahmood (Pak),1996-2007,143,110,26,1521,67,18.10,1988,76.50,0,3,9
252,RS Morton (WI),2002-2010,56,51,6,1519,110*,33.75,2289,66.36,2,10,7
253,JJ Crowe (NZ),1983-1990,75,71,12,1518,88*,25.72,2456,61.80,0,7,6
254,JM Kemp (Afr/SA),2001-2007,85,66,18,1512,100*,31.50,1819,83.12,1,10,6
255,RD Shah (Kenya),1998-2007,56,55,1,1506,113,27.88,2298,65.53,1,12,5
256,MA Ouma (Kenya),2004-2014,80,77,5,1501,61,20.84,2525,59.44,0,7,6
257,Mohammad Nabi (Afg),2009-2016,61,56,6,1469,116,29.38,1677,87.59,1,8,4
258,HJH Marshall (NZ),2003-2007,66,62,9,1454,101*,27.43,1990,73.06,1,12,3
259,DD Ebrahim (Zim),2001-2005,82,76,6,1443,121,20.61,2540,56.81,1,4,8
260,Mashrafe Mortaza (Asia/Ban),2001-2015,160,120,21,1442,51*,14.56,1628,88.57,0,1,11
261,Sikandar Raza (Zim),2013-2016,55,52,5,1431,141,30.44,1733,82.57,3,4,1
262,GC Wilson (Ire),2007-2015,63,61,7,1428,113,26.44,1885,75.75,1,10,4
263,Nasir Jamshed (Pak),2008-2015,48,48,3,1418,112,31.51,1881,75.38,3,8,5
264,HA Gomes (WI),1978-1987,83,64,15,1415,101,28.87,2578,54.88,1,6,5
265,N Boje (Afr/SA),1995-2005,115,71,18,1414,129,26.67,1594,88.70,2,4,2
266,MO Odumbe (Kenya),1996-2003,61,59,5,1409,83,26.09,2014,69.96,0,11,6
267,P Utseya (Zim),2004-2015,164,132,48,1406,68*,16.73,2410,58.34,0,4,16
268,CR Ervine (Zim),2010-2015,47,44,6,1400,130*,36.84,1778,78.74,2,8,2
269,GP Howarth (NZ),1975-1985,70,65,5,1384,76,23.06,2301,60.14,0,6,1
270,JD Ryder (NZ),2008-2014,48,42,1,1362,107,33.21,1429,95.31,3,6,5
271,BC Broad (Eng),1987-1988,34,34,0,1361,106,40.02,2447,55.61,1,11,2
272,DO Obuya (Kenya),2001-2012,74,73,3,1355,93,19.35,2135,63.46,0,6,10
273,Samiullah Shenwari (Afg),2009-2016,58,48,7,1343,96,32.75,2010,66.81,0,10,0
274,PG Fulton (NZ),2004-2009,49,46,5,1334,112,32.53,1833,72.77,1,8,2
275,JR Hopes (Aus),2005-2010,84,61,8,1326,63*,25.01,1415,93.71,0,3,1
276,SM Katich (Aus),2001-2006,45,42,5,1324,107*,35.78,1926,68.74,1,9,3
277,Asad Shafiq (Pak),2010-2015,58,56,4,1318,84,25.34,1940,67.93,0,9,5
278,KD Karthik (India),2004-2014,71,60,13,1313,79,27.93,1793,73.22,0,7,4
279,Javed Omar (Ban),1995-2007,59,59,4,1312,85*,23.85,2528,51.89,0,10,2
280,Raqibul Hasan (Ban),2008-2011,55,54,7,1308,89,27.82,2133,61.32,0,8,6
281,AA Obanda (Kenya),2007-2014,49,45,2,1306,96*,30.37,1764,74.03,0,9,2
282,MS Sinclair (NZ),2000-2009,54,50,4,1304,118*,28.34,2086,62.51,2,8,8
283,Mohammad Shahzad (Afg),2009-2016,39,39,2,1297,131*,35.05,1407,92.18,4,4,1
284,PN Kirsten (SA),1991-1994,40,40,6,1293,97,38.02,2308,56.02,0,9,0
285,MJ Prior (Eng),2004-2011,68,62,9,1282,87,24.18,1670,76.76,0,3,5
